,number,form.food.ate_past_24_h,form.food.nbr_eat_7_day,form.food.fooditem,food,nbr_food,number_meals,Ano,Mês,Dia,Cluster
583,5871,1,5.0,raketa_mena,,,,,,,Cluster 1
584,148,0,0.0,ravi_balahazo,5,1.0,2.0,2019.0,setembro,23.0,Cluster 0
585,11332,0,4.0,balahazo _maina,,,,,,,Cluster 0
586,11836,1,3.0,bageda,,,,,,,Cluster 3
587,10280,1,1.0,tsako,,,,,,,Cluster 3
588,1393,1,6.0,sakafo_hafa_soraty,,,,,,,Cluster 1
589,7881,1,7.0,raketa_mena,,,,,,,Cluster 1
590,1363,1,7.0,balahazo _maina,,,,,,,Cluster 1
591,4370,1,7.0,balahazo _maina,,,,,,,Cluster 1
592,5350,1,7.0,raketa_mena,,,,,,,Cluster 1
593,8652,1,7.0,bageda,,,,,,,Cluster 1
594,4131,1,7.0,balahazo _maina,,,,,,,Cluster 1
595,9790,1,4.0,tsako,,,,,,,Cluster 3
596,8891,1,4.0,antake,,,,,,,Cluster 3
597,11982,1,7.0,bageda,,,,,,,Cluster 1
598,11711,1,3.0,voanemba,,,,,,,Cluster 3
599,3501,1,7.0,raketa_mena,,,,,,,Cluster 1
600,3460,1,7.0,balahazo _maina,,,,,,,Cluster 1
601,2534,1,2.0,vary,,,,,,,Cluster 3
602,11920,1,4.0,voanemba,,,,,,,Cluster 3
603,2490,1,2.0,tsako,,,,,,,Cluster 3
604,6271,1,17.0,pitipoa,,,,,,,Cluster 2
605,5651,1,7.0,ravina_hafa,,,,,,,Cluster 1
606,9381,0,3.0,voanemba,,,,,,,Cluster 0
607,3916,1,1.0,bageda,,,,,,,Cluster 3
608,3864,1,4.0,Menaka,,,,,,,Cluster 3
609,8480,1,15.0,ampemba,,,,,,,Cluster 2
610,5070,1,7.0,legumes_hafa,,,,,,,Cluster 1
611,8040,0,0.0,tsako,,,,,,,Cluster 0
612,12010,1,7.0,balahazo _maina,,,,,,,Cluster 1
613,11191,1,7.0,antake,,,,,,,Cluster 1
614,1710,1,7.0,antake,,,,,,,Cluster 1
615,2251,1,7.0,bageda,,,,,,,Cluster 1
616,1220,1,21.0,raketa_mena,,,,,,,Cluster 2
617,11912,1,7.0,Menaka,,,,,,,Cluster 1
618,1662,1,7.0,bageda,,,,,,,Cluster 1
619,1030,1,3.0,ampemba,1 2,2.0,1.0,2018.0,agosto,8.0,Cluster 3
620,9100,1,3.0,tsako,,,,,,,Cluster 3
621,5060,1,7.0,raketa_mena,,,,,,,Cluster 1
622,5620,1,7.0,tsako,,,,,,,Cluster 1
623,81712,1,5.0,balahazo _maina,,,,,,,Cluster 1
624,374,0,0.0,taboara,1 12 5 7,4.0,3.0,2019.0,setembro,23.0,Cluster 0
625,3550,1,7.0,raketa_mena,,,,,,,Cluster 1
626,1387,1,7.0,balahazo _maina,,,,,,,Cluster 1
627,11500,0,0.0,tsako,,,,,,,Cluster 0
628,5252,1,3.0,hazan-dranomasina,,,,,,,Cluster 3
629,11250,1,5.0,tsako,,,,,,,Cluster 3
630,6251,1,7.0,balahazo _maina,,,,,,,Cluster 1
631,3954,0,1.0,bageda,,,,,,,Cluster 0
632,1514,1,4.0,bageda,,,,,,,Cluster 3
633,11450,1,5.0,tsako,,,,,,,Cluster 3
634,6900,1,2.0,tsako,,,,,,,Cluster 3
